"# menu items";"nan"
"_SITE_TITLE";"Réseau social"
"CORE_VIEWS_SCRIPTS_ADMINTASKS_INDEX_DESCRIPTION";"Ce sont des actions qui sont
Courez silencieusement en arrière-plan. Certains sont exécutés périodiquement, tandis que d'autres peuvent être
Courez comme vous le souhaitez. Vous pouvez afficher l'état actuel ici."
"Disable Auto-Refresh";"Désactiver automatiquement"
"Enable Auto-Refresh";"Activer Auto-Refresh"
"Tasks are ready to be run again.";"Les tâches sont prêtes à être exécutées."
"Tasks are checked every %1$s seconds.";"Les tâches sont vérifiées toutes les %1$s secondes."
"Tasks are considered to have timed out after %1$d seconds.";"Les tâches sont considérées comme ayant chronométré après %1$d secondes."
"Tasks can be run again in %1$s seconds.";"Les tâches peuvent être exécutées en %1$s secondes."
"Tasks are currently being executed.";"Des tâches sont actuellement en cours d'exécution."
"%1$d tasks are currently running.";"Les tâches %1$d sont actuellement en cours."
"Tasks have not executed for more than %1$d seconds. Please check your configuration.";"Les tâches n'ont pas exécuté pendant plus de %1$d secondes. Veuillez vérifier votre configuration."
"%1$s%%";"%1$s%%"
"%1$s%% complete";"%1$s%% complet"
"%1$s of %2$s";"%1$s de %2$s"
"%1$s in queue";"%1$s dans la file d'attente"
"%1$s processed";"%1$s traité"
"%1$s second";"%1$s seconde";"%1$s seconds"
"System";"Système"
"Rebuild Privacy";"Reconstruire la confidentialité"
"Maintenance";"Entretien"
"Automatic";"Automatique"
"Semi-automatic";"Semi-automatique"
"Manual";"Manuel"
"Disabled";"Désactivé"
"Active";"Actif"
"Sleeping";"Dormir"

"Ready";"Prêt"
"Dormant";"Dormant"
"State";"État"
"Module";"Module"
"A-Z";"A-Z"
"Z-A";"Z-A"
"Order";"Commande"
"Enabled";"Activé"
"Direction";"Direction"
"Filter";"Filtre"
"Change Settings";"Modifier les paramètre"
"CORE_VIEWS_SCRIPTS_ADMINTASKS_JOBS_DESCRIPTION";"Emplois ajoutés à la file d'attente
peut être consulté ici."
"CORE_FORM_ADMIN_SETTINGS_TASKS_DESCRIPTION";"<em> Ce sont des paramètres avancés; Nous vous recommandons de les modifier que si vous êtes familier avec ces fonctionnalités ou si vous êtes instruit par notre personnel de soutien. </em> <br />
Méthodes de déclenchement: <br />
- Curl et Socket sont les valeurs par défaut recommandées; Ils envoient une demande HTTP asynchrone. <br />
- JavaScript utilise un appel ajax; Ceci est utile pour les serveurs où la prise ou la boucle ne fonctionnent pas et Cron n'est pas disponible. <br />
- Cron nécessite une configuration dans Crontab ou le planificateur de tâches sur Windows. <Br />
- Fork utilise l'appel système Fork () sur les systèmes UNIX."
"cURL";"boucle"
"Socket";"Douille"
"Cron";"Cron"
"Javascript";"Javascrip"
"Fork";"Fourchette"
"# fancyupload";"nan"
"Overall Progress ({total})";"Progrès global ({total})"
"File Progress";"Dépôt de progrè"
"Uploading ""{name}""";"Téléchargement ""{name}"""
"Upload: {bytesLoaded} with {rate}, {timeRemaining} remaining.";"Téléchargement: {bytesLoaded} avec {rate}, {timeRemaining} restant."
"{name}";"{name}"
"Remove";"Retirer""
"Click to remove this entry.";"Cliquez pour supprimer cette entrée."
"Upload failed";"Le téléchargement a échoué"
"{name} already added.";"{name} déjà ajouté."
"{name} ({size}) is too small, the minimal file size is {fileSizeMin}.";"{name} ({size}) est trop petit, la taille minimale du fichier est {fileSizeMin}."
"{name} ({size}) is too big, the maximal file size is {fileSizeMax}.";"{name} ({size}) est trop grand, la taille maximale du fichier est {fileSizeMax}."
"{name} could not be added, amount of {fileListMax} files exceeded.";"{name} n'a pas pu être ajouté, le montant des fichiers {fileListMax} dépassé."
"{name} ({size}) is too big, overall filesize of {fileListSizeMax} exceeded.";"{name} ({size}) est trop grand, la taille globale des fichiers de {fileListSizeMax} dépassée."
"Server returned HTTP-Status <code>#{code}</code>";"Le serveur a renvoyé http-status <code> #__ var0 __ </code>"
"Security error occurred ({text})";"Une erreur de sécurité s'est produite ({text})"
"Error caused a send or load operation to fail ({text})";"L'erreur a fait échouer une opération d'envoi ou de chargement ({text})"
"Please select a valid language.";"Veuillez sélectionner une langue valide."
"# Zend_Captcha_Word validator messages";"nan"
"Empty captcha value";"Assurez-vous que vous avez entré les mêmes caractères que vous voyez dans l'image."
"Captcha ID field is missing";"Assurez-vous que vous avez entré les mêmes caractères que vous voyez dans l'image."
"Captcha value is wrong";"Assurez-vous que vous avez entré les mêmes caractères que vous voyez dans l'image."
"# Zend_Validate_Alnum validator messages";"nan"
"Invalid type given, value should be float, string, or integer";"Veuillez entrer uniquement les caractères alphabétiques et chiffre"
"'%value%' has not only alphabetic and digit characters";"Veuillez entrer uniquement les caractères alphabétiques et chiffre"
"'%value%' is an empty string";"Veuillez entrer uniquement les caractères alphabétiques et chiffre"
"# Zend_Validate_Alpha validator messages";"nan"
"Invalid type given, value should be a string";"Veuillez entrer uniquement les caractères alphabétiques et chiffre"
"'%value%' has not only alphabetic characters";"Veuillez entrer uniquement les caractères alphabétiques et chiffre"
"'%value%' is an empty string";"Veuillez entrer uniquement les caractères alphabétiques et chiffre"
"# Zend_Validate_Between validator messages";"nan"
"'%value%' is not between '%min%' and '%max%', inclusively";"Veuillez choisir un nombre entre «% min%» et «% max%»"
"'%value%' is not strictly between '%min%' and '%max%'";"Veuillez choisir un nombre entre «% min%» et «% max%»"
"# Zend_Validate_Date validator messages";"nan"
"Invalid type given, value should be string, integer, array or Zend_Date";"Veuillez choisir une date valide"
"'%value%' is not of the format YYYY-MM-DD";"Veuillez choisir une date valide"
"'%value%' does not appear to be a valid date";"Veuillez choisir une date valide"
"'%value%' does not fit given date format";"Veuillez choisir une date valide"
"# Zend_Validate_Digits validator messages";"nan"

"'%value%' contains not only digit characters";"Veuillez saisir uniquement des chiffre"
"'%value%' is an empty string";"Veuillez saisir uniquement des chiffre"
"Invalid type given, value should be string, integer or float";"Veuillez saisir uniquement des chiffre"
"# Zend_Validate_EmailAddress validator messages";"nan"
"Invalid type given, value should be a string";"S'il vous plaît, mettez une adresse email valide"
"'%value%' is not a valid email address in the basic format local-part@hostname";"S'il vous plaît, mettez une adresse email valide"
"'%hostname%' is not a valid hostname for email address '%value%'";"S'il vous plaît, mettez une adresse email valide"
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'";"S'il vous plaît, mettez une adresse email valide"
"'%localPart%' not matched against dot-atom format";"S'il vous plaît, mettez une adresse email valide"
"'%localPart%' not matched against quoted-string format";"S'il vous plaît, mettez une adresse email valide"
"'%localPart%' is not a valid local part for email address '%value%'";"S'il vous plaît, mettez une adresse email valide"
"'%value%' exceeds the allowed length";"S'il vous plaît, mettez une adresse email valide"
"'%localPart%' can not be matched against quoted-string format";"S'il vous plaît, mettez une adresse email valide"
"# Zend_Validate_Hostname validator messages";"nan"
"'%value%' appears to be a DNS hostname but cannot extract TLD part";"Veuillez saisir un nom d'hôte DNS valide"
"'%value%' appears to be a local network name but local network names are not allowed";"Veuillez saisir un nom d'hôte DNS valide"
"# Zend_Validate_Float validator messages";"nan"
"Invalid type given, value should be float, string, or integer";"Veuillez saisir une valeur entière valide. Une décimale est autorisée mais d'autres caractères spéciaux ne le sont pas."
"'%value%' does not appear to be a float";"Veuillez saisir une valeur entière valide. Une décimale est autorisée mais d'autres caractères spéciaux ne le sont pas."
"# Zend_Validate_GreaterThan";"nan"
"'%value%' is not greater than '%min%'";"Veuillez choisir un nombre supérieur à «% min%»"
"# Zend_Validate_Int";"nan"
"Invalid type given, value should be a string or a integer";"Veuillez saisir un entier valide"
"'%value%' does not appear to be an integer";"Veuillez saisir un entier valide"
"# Zend_Validate_LessThan";"nan"
"'%value%' is not less than '%max%'";"Veuillez saisir un nombre inférieur à «%max%»"
"# Zend_Validate_NotEmpty";"nan"
"Value is required and can't be empty";"Veuillez compléter ce champ - il est nécessaire."
"Please fill in this field.";"Veuillez compléter ce champ - il est nécessaire."
"Invalid type given, value should be float, string, array, boolean or integer";"Veuillez fournir une réponse valide pour ce domaine."
"# Zend_Validate_StringLength";"nan"
"Invalid type given, value should be a string";"Veuillez saisir une chaîne valide"
"'%value%' is less than %min% characters long";"Veuillez saisir au moins %Min% caractère"
"'%value%' is greater than %max% characters long";"Veuillez entrer plus que de caractères %max%"
"# Engine_Captcha_ReCaptcha2  validator messages";"nan"
"Missing captcha fields";"Veuillez entrer un captcha valide"
"Failed to validate captcha";"Veuillez entrer un captcha valide"
"Captcha value is wrong: %value%";"Veuillez entrer un captcha valide"
"# Engine_Validate_AtLeast";"nan"
"'%value%' is not at least '%min%'";"Veuillez saisir un nombre qui est au moins «% min%»"
"'%value%' is more than %max% characters long";"'% Value%' est plus quede caractères %max% long"
"'%value%' is less than %min% characters long";"'% Value%' est inférieur à de caractères %min%"
"# mail templates";"nan"
"# header";"nan"

"_EMAIL_HEADER_TITLE";"En-tête (non-membres)"
"_EMAIL_HEADER_DESCRIPTION";"Cela peut être ajouté à d'autres e-mails à l'aide de l'espace réservé [d'en-tête]."
"_EMAIL_HEADER_SUBJECT";"nan"
"_EMAIL_HEADER_BODY";"Bonjour,"
"# footer";"nan"
"_EMAIL_FOOTER_TITLE";"Pied de page (non-membres)"
"_EMAIL_FOOTER_DESCRIPTION";"Cela peut être ajouté à d'autres e-mails à l'aide de l'espace réservé [de pied]."
"_EMAIL_FOOTER_SUBJECT";"nan"
"_EMAIL_FOOTER_BODY";"Cordialement,
Administration des réseaux sociaux"
"# header_member";"nan"
"_EMAIL_HEADER_MEMBER_TITLE";"En-tête (membres)"
"_EMAIL_HEADER_MEMBER_DESCRIPTION";"Cela peut être ajouté à d'autres e-mails à l'aide de l'espace réservé [d'en-tête]."
"_EMAIL_HEADER_MEMBER_SUBJECT";"nan"
"_EMAIL_HEADER_MEMBER_BODY";"Bonjour [destinataire_title],"
"# footer_member";"nan"
"_EMAIL_FOOTER_MEMBER_TITLE";"Pied de page (membres)"
"_EMAIL_FOOTER_MEMBER_DESCRIPTION";"Cela peut être ajouté à d'autres e-mails à l'aide de l'espace réservé [de pied]."
"_EMAIL_FOOTER_MEMBER_SUBJECT";"nan"
"_EMAIL_FOOTER_MEMBER_BODY";"Cordialement,
Administration des réseaux sociaux"
"# core_contact";"nan"
"_EMAIL_CORE_CONTACT_TITLE";"Email du formulaire de contact"
"_EMAIL_CORE_CONTACT_DESCRIPTION";"Cet e-mail est envoyé au Super Admin lorsqu'un membre envoie un message à l'aide de la page de contact."
"_EMAIL_CORE_CONTACT_SUBJECT";"Un membre vous a envoyé un message en utilisant la page de contact."
"_EMAIL_CORE_CONTACT_BODY";"[En-tête]

[Sender_Title] vous a envoyé un message en utilisant la page de contact:

Email: [Sender_Email]
Message:
[message] [error_report]

[pied de page]"
"# core_verification";"nan"
"_EMAIL_CORE_VERIFICATION_TITLE";"Vérification de l'adresse e-mail"
"_EMAIL_CORE_VERIFICATION_DESCRIPTION";"Il s'agit de l'e-mail qui est envoyé aux membres pour vérifier leurs adresses e-mail si les mots de passe aléatoires sont désactivés."
"_EMAIL_CORE_VERIFICATION_SUBJECT";"Réseau social - Vérification des e-mail"
"_EMAIL_CORE_VERIFICATION_BODY";"[En-tête]

Merci d'avoir rejoint notre réseau social. Pour vérifier votre adresse e-mail et continuer, veuillez cliquer sur le lien suivant:
http: // [hôte] [object_link]

Email: [Email]

[pied de page]"
"# notify_admin_user_signup";"nan"
"_EMAIL_NOTIFY_ADMIN_USER_SIGNUP_TITLE";"Notification d'inscription de l'administrateur"
"_EMAIL_NOTIFY_ADMIN_USER_SIGNUP_DESCRIPTION";"Il s'agit de l'e-mail qui est envoyé à l'administrateur lorsqu'un membre s'inscrit."
"_EMAIL_NOTIFY_ADMIN_USER_SIGNUP_SUBJECT";"Quelqu'un a rejoint le réseau social!"
"_EMAIL_NOTIFY_ADMIN_USER_SIGNUP_BODY";"Félicitations, quelqu'un a rejoint votre réseau social. Bienvenue au nouveau membre sur votre site:

[object_title]: http: // [hôte] [object_link]
Date d'inscription: [Date]"
"# core_welcome";"nan"
"_EMAIL_CORE_WELCOME_TITLE";"Accueillir"
"_EMAIL_CORE_WELCOME_DESCRIPTION";"Il s'agit de l'e-mail qui est envoyé lorsqu'un membre s'inscrit si les mots de passe aléatoires sont désactivés."
"_EMAIL_CORE_WELCOME_SUBJECT";"Bienvenue sur le réseau social!"
"_EMAIL_CORE_WELCOME_BODY";"[En-tête]

Merci d'avoir rejoint notre réseau social. Cliquez sur le lien suivant et entrez vos informations ci-dessous pour vous connecter:

http: // [hôte] [object_link]

Email: [Email]

[pied de page]"
"# core_lostpassword";"nan"
"_EMAIL_CORE_LOSTPASSWORD_TITLE";"Mot de passe perdu"
"_EMAIL_CORE_LOSTPASSWORD_DESCRIPTION";"Il s'agit de l'e-mail qui est envoyé si un membre oublie son mot de passe et demande en créer un nouveau."
"_EMAIL_CORE_LOSTPASSWORD_SUBJECT";"Réseau social - Mot de passe perdu"
"_EMAIL_CORE_LOSTPASSWORD_BODY";"[En-tête]

Vous avez demandé à réinitialiser votre mot de passe car vous avez oublié votre mot de passe. Si vous ne l'avez pas demandé, veuillez l'ignorer. Il expirera dans 1 heure. Pour réinitialiser votre mot de passe, veuillez cliquer sur le lien suivant:

http: // [hôte] [object_link]

[pied de page]"
"#error messages";"nan"
"We're sorry!";"Nous sommes désolés!"
"We are currently experiencing some technical issues. Please try again or report this to your site administrator using the %1$scontact%2$s form.";"Nous rencontrons actuellement certains problèmes techniques. Veuillez réessayer ou signaler ceci à votre administrateur de site à l'aide du formulaire %1$sContact%2$s."
"Administrator: Please check the error log in your admin panel for more information regarding this error.";"Administrateur: veuillez vérifier la connexion d'erreur dans votre panneau d'administration pour plus d'informations concernant cette erreur."
"Some information is available below:";"Certaines informations sont disponibles ci-dessous:"
"Error Code: %s";"Code d'erreur: %"
"Maintenance Mode Code";"Code de mode de maintenance"
"CORE_FORM_ADMIN_SETTINGS_MAINTENANCE_MODE_CODE";"Si vide, un mot de passe sera généré au hasard."
"#IFRAMELYOPTIONS";"nan"
"CORE_FORM_ADMIN_SETTINGS_IFRAMELY_OPTION_IFRAMELY";"Oui, je veux utiliser l'API hébergée par iframely."
"CORE_FORM_ADMIN_SETTINGS_IFRAMELY_OPTION_SOCIALENGINE";"Désactiver"
"CORE_FORM_ADMIN_SETTINGS_IFRAMELY_OPTION_SELF";"Oui, je souhaite héberger une API sur mon propre serveur en utilisant le <a href = ""https://github.com/itteco/iframely"" cible = ""_ Blank""> OpenSource version </a>."
"#Admin Pages Title";"nan"
"PAGETITLE-USER-INDEX-ADMIN-MANAGE";"Gérer les membre"
"PAGETITLE-AUTHORIZATION-INDEX-ADMIN-LEVEL";"Niveaux des membre"
"PAGETITLE-AUTHORIZATION-EDIT-ADMIN-LEVEL";"Réglage des niveaux des membre"
"PAGETITLE-NETWORK-INDEX-ADMIN-MANAGE";"Réseaux"
"PAGETITLE-ANNOUNCEMENT-INDEX-ADMIN-MANAGE";"Annonce"
"PAGETITLE-ANNOUNCEMENT-CREATE-ADMIN-MANAGE";"Créer une annonce"
"PAGETITLE-CORE-MAIL-ADMIN-MESSAGE";"Envoyer un courriel à tous les membre"
"PAGETITLE-CORE-INDEX-ADMIN-REPORT";"Rapports d'abu"
"PAGETITLE-CORE-LOCALE-ADMIN-SETTINGS";"Paramètres des paramètres régionaux"
"PAGETITLE-CORE-GENERAL-ADMIN-SETTINGS";"Paramètres généraux"
"PAGETITLE-USER-INDEX-ADMIN-FIELDS";"Questions de profil"
"PAGETITLE-USER-INDEX-ADMIN-SIGNUP";"Processus d'inscription"
"PAGETITLE-USER-TWITTER-ADMIN-SETTINGS";"X intégration"
"PAGETITLE-USER-FACEBOOK-ADMIN-SETTINGS";"Intégration Facebook"
"PAGETITLE-ACTIVITY-INDEX-ADMIN-SETTINGS";"Paramètres d'alimentation d'activité"
"PAGETITLE-ACTIVITY-TYPES-ADMIN-SETTINGS";"Paramètres de type d'élément d'activité"
"PAGETITLE-CORE-SPAM-ADMIN-SETTINGS";"Outils de spam et d'interdiction"
"PAGETITLE-USER-INDEX-ADMIN-LOGINS";"Historique de connexion"
"PAGETITLE-USER-FRIENDS-ADMIN-SETTINGS";"Paramètres d'amitié"
"PAGETITLE-CORE-TEMPLATES-ADMIN-MAIL";"Modèles de courrier"
"PAGETITLE-CORE-SETTINGS-ADMIN-MAIL";"Paramètres de messagerie"

"PAGETITLE-CORE-PERFORMANCE-ADMIN-SETTINGS";"Performance et mise en cache"
"PAGETITLE-CORE-PASSWORD-ADMIN-SETTINGS";"Mot de passe administrateur"
"PAGETITLE-CORE-INDEX-ADMIN-TASKS";"Planificateur de tâche"
"PAGETITLE-CORE-JOBS-ADMIN-TASKS";"File d'attente"
"PAGETITLE-CORE-SETTINGS-ADMIN-TASKS";"Paramètre de planificateur de tâche"
"PAGETITLE-CORE-INDEX-ADMIN-LOG";"Navigateur en journal"
"PAGETITLE-STORAGE-CREATE-ADMIN-SERVICES";"Ajouter un service de stockage"
"PAGETITLE-STORAGE-EDIT-ADMIN-SERVICES";"Modifier le service de stockage"
"PAGETITLE-STORAGE-TRANSFER-ADMIN-SERVICES";"Transfert de fichier"
"PAGETITLE-STORAGE-INDEX-ADMIN-SERVICES";"Système de stockage"
"PAGETITLE-CORE-INDEX-ADMIN-IFRAMELY";"Intégration iframely"
"PAGETITLE-ACTIVITY-NOTIFICATIONS-ADMIN-SETTINGS";"Alertes de notification par défaut"
"PAGETITLE-USER-EMAILS-ADMIN-SETTINGS";"Alertes par e-mail par défaut"
"PAGETITLE-POLL-INDEX-ADMIN-MANAGE";"Sondage"
"PAGETITLE-POLL-INDEX-ADMIN-SETTINGS";"Sondage global de sondage"
"PAGETITLE-POLL-LEVEL-ADMIN-SETTINGS";"Réglage du niveau des membres du sondage"
"PAGETITLE-MUSIC-INDEX-ADMIN-MANAGE";"Musique"
"PAGETITLE-MUSIC-INDEX-ADMIN-SETTINGS";"Cadre global de musique"
"PAGETITLE-MUSIC-INDEX-ADMIN-LEVEL";"Réglage du niveau des membres de la musique"
"PAGETITLE-GROUP-INDEX-ADMIN-MANAGE";"Groupe"
"PAGETITLE-GROUP-INDEX-ADMIN-SETTINGS";"Paramètre global de groupe"
"PAGETITLE-GROUP-LEVEL-ADMIN-SETTINGS";"Réglage du niveau des membres du groupe"
"PAGETITLE-GROUP-CATEGORIES-ADMIN-SETTINGS";"Catégories de groupe"
"PAGETITLE-VIDEO-INDEX-ADMIN-MANAGE";"Vidéo"
"PAGETITLE-VIDEO-INDEX-ADMIN-SETTINGS";"Paramètres mondiaux vidéo"
"PAGETITLE-VIDEO-LEVEL-ADMIN-SETTINGS";"Paramètre de niveau de membre vidéo"
"PAGETITLE-VIDEO-CATEGORIES-ADMIN-SETTINGS";"Catégories de vidéo"
"PAGETITLE-VIDEO-UTILITY-ADMIN-SETTINGS";"Utilitaires vidéo"
"PAGETITLE-FORUM-INDEX-ADMIN-MANAGE";"Forum"
"PAGETITLE-FORUM-INDEX-ADMIN-SETTINGS";"Forum Global Paraming"
"PAGETITLE-FORUM-INDEX-ADMIN-LEVEL";"Réglage du niveau des membres du forum"
"PAGETITLE-EVENT-INDEX-ADMIN-MANAGE";"Événement"
"PAGETITLE-EVENT-INDEX-ADMIN-SETTINGS";"Définition globale de l'événement"
"PAGETITLE-EVENT-LEVEL-ADMIN-SETTINGS";"Réglage du niveau du membre de l'événement"
"PAGETITLE-EVENT-CATEGORIES-ADMIN-SETTINGS";"Catégories d'événement"
"PAGETITLE-CHAT-INDEX-ADMIN-MANAGE";"Chat"
"PAGETITLE-CHAT-INDEX-ADMIN-SETTINGS";"Paramètre global de chat"
"PAGETITLE-CHAT-LEVEL-ADMIN-SETTINGS";"Paramètre de niveau des membres de chat"
"PAGETITLE-BLOG-INDEX-ADMIN-MANAGE";"Bloguer"
"PAGETITLE-BLOG-INDEX-ADMIN-SETTINGS";"Blog Paramètre global"
"PAGETITLE-BLOG-INDEX-ADMIN-LEVEL";"Paramètre de niveau des membres du blog"
"PAGETITLE-BLOG-CATEGORIES-ADMIN-SETTINGS";"Catégories de blog"
"PAGETITLE-ALBUM-INDEX-ADMIN-MANAGE";"Photo album"
"PAGETITLE-ALBUM-INDEX-ADMIN-SETTINGS";"Paramètre global d'album"
"PAGETITLE-ALBUM-INDEX-ADMIN-LEVEL";"Réglage du niveau des membres de l'album"
"PAGETITLE-ALBUM-CATEGORIES-ADMIN-SETTINGS";"Catégories d'album"
"PAGETITLE-CLASSIFIED-INDEX-ADMIN-MANAGE";"Classifié"
"PAGETITLE-CLASSIFIED-INDEX-ADMIN-SETTINGS";"Paramètre global classé"
"PAGETITLE-CLASSIFIED-INDEX-ADMIN-LEVEL";"Réglage du niveau des membres classifié"
"PAGETITLE-CLASSIFIED-CATEGORIES-ADMIN-SETTINGS";"Catégories classifiée"
"PAGETITLE-CLASSIFIED-INDEX-ADMIN-FIELDS";"Questions classifiée"
"PAGETITLE-CORE-INDEX-ADMIN-CONTENT";"Rédacteur en chef"
"PAGETITLE-CORE-INDEX-ADMIN-THEMES";"Éditeur de thème"
"PAGETITLE-CORE-CREATE-COLOR-VARIANT-ADMIN-THEMES";"Thèmes Variante de couleur"
"PAGETITLE-CORE-CLONE-ADMIN-THEMES";"Thème de clone"
"PAGETITLE-CORE-INDEX-ADMIN-FILES";"Fichier et gestionnaire de média"
"PAGETITLE-CORE-INDEX-ADMIN-LANGUAGE";"Gestionnaire de langue"
"PAGETITLE-CORE-EDIT-ADMIN-LANGUAGE";"Modifier"
"PAGETITLE-CORE-INDEX-ADMIN-MENUS";"Éditeur de menu"
"PAGETITLE-CORE-INDEX-ADMIN-BANNERS";"Gérer les bannière"
"PAGETITLE-CORE-CREATE-ADMIN-BANNERS";"Créer une bannière"
"PAGETITLE-CORE-INDEX-ADMIN-ADS";"Gérer les annonce"
"PAGETITLE-CORE-CREATE-ADMIN-ADS";"Créer des annonce"
"PAGETITLE-CORE-MANAGEADS-ADMIN-ADS";"Gérer l'annonce"
"PAGETITLE-CORE-EDIT-ADMIN-ADS";"Modifier la campagne publicitaire"
"PAGETITLE-CORE-AFFILIATE-ADMIN-SETTINGS";"Programme d'affiliation"
"PAGETITLE-PAYMENT-INDEX-ADMIN-INDEX";"Transaction"
"PAGETITLE-PAYMENT-INDEX-ADMIN-SETTINGS";"Paramètres de paiement"
"PAGETITLE-PAYMENT-INDEX-ADMIN-GATEWAY";"Passerelles de paiement"
"PAGETITLE-PAYMENT-EDIT-ADMIN-GATEWAY";"Modifier la passerelle de paiement"
"PAGETITLE-PAYMENT-INDEX-ADMIN-PACKAGE";"Plan d'abonnement"
"PAGETITLE-PAYMENT-EDIT-ADMIN-PACKAGE";"Modifier le plan d'abonnement"
"PAGETITLE-PAYMENT-INDEX-ADMIN-SUBSCRIPTION";"Abonnement"
"PAGETITLE-CORE-INDEX-ADMIN-STATS";"Statistique"
"PAGETITLE-CORE-REFERRERS-ADMIN-STATS";"Sites référendant"
"PAGETITLE-CORE-PHP-ADMIN-SYSTEM";"Informations sur le serveur"
"PAGETITLE-CORE-INDEX-ADMIN-INDEX";"Maison"
"PAGETITLE-CORE-INDEX-ADMIN-MANAGETAGS";"Gérer les balise"
"PAGETITLE-CORE-INDEX-ADMIN-MANAGE-ACTIVITY";"Gérer les flux d'activité"
"PAGETITLE-CORE-INDEX-ADMIN-MANAGE-COMMENTS";"Gérer les commentaires sur le contenu"
"PAGETITLE-CORE-ACTIVITY-ADMIN-MANAGE-COMMENTS";"Gérer les commentaires sur les flux d'activité"
"PAGETITLE-CORE-VERIFICATION-ADMIN-SETTINGS";"Paramètres de vérification"
"PAGETITLE-CORE-INDEX-ADMIN-SUPPORT";"Prise en charge de la boîte de réception"
"PAGETITLE-CORE-CATEGORIES-ADMIN-SUPPORT";"Catégories de billet"
"PAGETITLE-CORE-MANAGE-ADMIN-SUPPORT";"Message de soutien"
"PAGETITLE-CORE-REDIRECTION-ADMIN-SETTINGS";"Paramètres de redirection"
"PAGETITLE-CORE-EDITOR-ADMIN-SETTINGS";"Paramètres de l'éditeur TinyMCE"
"PAGETITLE-CORE-INDEX-ADMIN-MANAGE-PACKAGES";"Plugin"
"PAGETITLE-CORE-ENABLED-ADMIN-MANAGE-PACKAGES";"Plugins activé"
"PAGETITLE-CORE-DISABLED-ADMIN-MANAGE-PACKAGES";"Plugins handicapé"
"PAGETITLE-CORE-CREATE-ADMIN-LANGUAGE";"Créer un nouveau pack"
"PAGETITLE-CORE-DELETE-ADMIN-REPORT";"Supprimer le rapport"
"PAGETITLE-CORE-UPLOAD-ADMIN-THEMES";"Télécharger un nouveau thème"
"PAGETITLE-CORE-UPLOAD-ADMIN-LANGUAGE";"Télécharger un nouveau pack"
"PAGETITLE-CORE-EDIT-ADMIN-BANNERS";"Modifier la bannière"
"PAGETITLE-CORE-CREATEAD-ADMIN-ADS";"Créer une publicité"
"#Theme Chooser Widget";"nan"
"Themes";"Thème"
"#Mail";"nan"
"You may configure your email alert preferences from <a href=""%1$s"" target=""_blank""> here</a>.";"Vous pouvez configurer vos préférences d'alerte de messagerie à partir de <a href = ""%1$s"" cible = ""_ Blank""> ici </a>."
"You have no message.";"Vous n'avez aucun message."
"Welcome to our Social Network!!";"Bienvenue sur notre réseau social !!"
"Love what you see?";"Aimez ce que vous voyez?"
"Get Started";"Commencer"
"Easy Login / Signup";"Connexion / inscription facile"
"You can easily sign up on our community or simply login, if you already have an account to get started !";"Vous pouvez facilement vous inscrire sur notre communauté ou simplement vous connecter, si vous avez déjà un compte pour commencer!"
"Post Content";"Poster le contenu"
"Quickly start by posting your status updates, photos, videos, groups, blogs, classifieds, etc inside.";"Commencez rapidement par publier vos mises à jour de statut, photos, vidéos, groupes, blogs, classifiés, etc."
"Responsive";"Sensible"
"Our community is 100% responsive, so you can use it anywhere, & anytime from any device.";"Notre communauté est 100% réactive, vous pouvez donc l'utiliser n'importe où et à tout moment à partir de n'importe quel appareil."
"Flexible";"Flexible"

"Our community is available 24x7, so you can use it as per your flexibility and requirement.";"Notre communauté est disponible 24h / 24 et 7j / 7, vous pouvez donc l'utiliser conformément à votre flexibilité et exigence."
"Messages ";"Message"
"Compose New Message";"Composez un nouveau message"
"Loading";"Chargement"
"View All Messages";"Afficher tous les message"
"Mark All Read";"Marquez tout lire"
"Friend Requests";"Demandes d'ami"
"See all friend requests";"Voir toutes les demandes d'ami"
"You have no friend requests.";"Vous n'avez pas de demandes d'amis."
"Ignore Request";"Ignorer la demande"
"These settings affect your entire community and all your members. Using these settings, you can choose to change the default redirection of users after selected actions. <br>";"Ces paramètres affectent toute votre communauté et tous vos membres. En utilisant ces paramètres, vous pouvez choisir de modifier la redirection par défaut des utilisateurs après des actions sélectionnées. <br>"
"Redirection Settings";"Paramètres de redirection"
"User Redirection After Login";"Redirection de l'utilisateur après la connexion"
"Select the page where you want the users to be redirected after they log in to your site.";"Sélectionnez la page où vous souhaitez que les utilisateurs soient redirigés après leur connexion vers votre site."
"Member Home Page";"Page d'accueil du membre"
"Member Profile Page";"Page de profil membre"
"Edit Profile Page";"Modifier la page du profil"
"Other Page";"Autre page"
"Other Page URL";"Autre URL de page"
"Enter URL of the page. (Note: Please make sure you are entering the URL from this website only.)";"Entrez l'URL de la page. (Remarque: veuillez vous assurer que vous entrez uniquement l'URL de ce site Web.)"
"User Redirection After Signup";"Redirection de l'utilisateur après l'inscription"
"Select the page where you want the users to be redirected after they signup on your site.";"Sélectionnez la page où vous souhaitez que les utilisateurs soient redirigés après leur inscription sur votre site."
"User Redirection After Logout";"Redirection de l'utilisateur après déconnexion"
"Select the page where you want the users to be redirected after they logout from your site.";"Sélectionnez la page où vous souhaitez que les utilisateurs soient redirigés après leur déconnexion à partir de votre site."
"Landing Page";"Page de destination"
"Sign-in Page";"Page de connexion"
